Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,1/30/2020,Northeast,New York,New York,Women's Apparel,50,950,118750,0.25,Outlet
Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,50,1200,300000,0.5,Outlet
Foot Locker,1185732,2/1/2020,Northeast,New York,New York,Men's Athletic Footwear,50,900,135000,0.3,Outlet
Foot Locker,1185732,2/2/2020,Northeast,New York,New York,Women's Street Footwear,40,900,126000,0.35,Outlet
Foot Locker,1185732,2/3/2020,Northeast,New York,New York,Women's Athletic Footwear,45,825,129937.5,0.35,Outlet
Foot Locker,1185732,2/4/2020,Northeast,New York,New York,Men's Apparel,60,825,148500,0.3,Outlet
Foot Locker,1185732,2/5/2020,Northeast,New York,New York,Women's Apparel,50,950,118750,0.25,Outlet
Foot Locker,1185732,2/6/2020,Northeast,New York,New York,Men's Street Footwear,60,1220,366000,0.5,Outlet
Foot Locker,1185732,2/7/2020,Northeast,New York,New York,Men's Athletic Footwear,55,925,152625,0.3,Outlet
Foot Locker,1185732,2/8/2020,Northeast,New York,New York,Women's Street Footwear,50,900,157500,0.35,Outlet
Foot Locker,1185732,2/9/2020,Northeast,New York,New York,Women's Athletic Footwear,50,850,148750,0.35,Outlet
Foot Locker,1185732,2/10/2020,Northeast,New York,New York,Men's Apparel,60,875,157500,0.3,Outlet
Foot Locker,1185732,3/3/2020,Northeast,New York,New York,Women's Apparel,65,1000,162500,0.25,Outlet
Foot Locker,1185732,3/4/2020,Northeast,New York,New York,Men's Street Footwear,60,1250,375000,0.5,Outlet
Foot Locker,1185732,3/5/2020,Northeast,New York,New York,Men's Athletic Footwear,55,1000,165000,0.3,Outlet
Foot Locker,1185732,3/6/2020,Northeast,New York,New York,Women's Street Footwear,50,925,161875,0.35,Outlet
Foot Locker,1185732,3/7/2020,Northeast,New York,New York,Women's Athletic Footwear,50,900,157500,0.35,Outlet
Foot Locker,1185732,3/8/2020,Northeast,New York,New York,Men's Apparel,60,900,162000,0.3,Outlet
Foot Locker,1185732,3/9/2020,Northeast,New York,New York,Women's Apparel,65,1050,170625,0.25,Outlet
Foot Locker,1185732,3/10/2020,Northeast,New York,New York,Men's Street Footwear,60,1275,382500,0.5,Outlet
Foot Locker,1185732,3/11/2020,Northeast,New York,New York,Men's Athletic Footwear,55,1025,169125,0.3,Outlet
Foot Locker,1185732,3/12/2020,Northeast,New York,New York,Women's Street Footwear,50,950,166250,0.35,Outlet
Foot Locker,1185732,3/13/2020,Northeast,New York,New York,Women's Athletic Footwear,50,900,157500,0.35,Outlet
Foot Locker,1185732,3/14/2020,Northeast,New York,New York,Men's Apparel,60,925,166500,0.3,Outlet
Foot Locker,1185732,3/15/2020,Northeast,New York,New York,Women's Apparel,65,1100,178750,0.25,Outlet
Foot Locker,1185732,3/16/2020,Northeast,New York,New York,Men's Street Footwear,60,1250,375000,0.5,Outlet
Foot Locker,1185732,3/17/2020,Northeast,New York,New York,Men's Athletic Footwear,55,1025,169125,0.3,Outlet
Foot Locker,1185732,3/18/2020,Northeast,New York,New York,Women's Street Footwear,50,950,166250,0.35,Outlet
Foot Locker,1185732,3/31/2020,Northeast,New York,New York,Women's Athletic Footwear,50,925,161875,0.35,Outlet
Walmart,1185732,4/17/2020,Northeast,New York,New York,Men's Apparel,60,900,162000,0.3,Outlet
Walmart,1185732,4/18/2020,Northeast,New York,New York,Women's Apparel,65,1075,174687.5,0.25,Outlet
Walmart,1185732,4/19/2020,Northeast,New York,New York,Men's Street Footwear,60,1200,360000,0.5,Outlet
Walmart,1185732,4/20/2020,Northeast,New York,New York,Men's Athletic Footwear,55,1000,165000,0.3,Outlet
Walmart,1185732,4/21/2020,Northeast,New York,New York,Women's Street Footwear,50,925,161875,0.35,Outlet
Walmart,1185732,4/22/2020,Northeast,New York,New York,Women's Athletic Footwear,50,900,157500,0.35,Outlet
Walmart,1185732,4/23/2020,Northeast,New York,New York,Men's Apparel,60,900,162000,0.3,Outlet
Walmart,1185732,4/24/2020,Northeast,New York,New York,Women's Apparel,65,1000,162500,0.25,Outlet
Walmart,1185732,4/25/2020,Northeast,New York,New York,Men's Apparel,65,875,170625,0.3,Outlet
Walmart,1185732,4/26/2020,Northeast,New York,New York,Women's Apparel,70,1000,175000,0.25,Outlet
Walmart,1185732,4/27/2020,Northeast,New York,New York,Men's Street Footwear,65,1150,373750,0.5,Outlet
Walmart,1185732,4/28/2020,Northeast,New York,New York,Men's Athletic Footwear,55,975,160875,0.3,Outlet
Walmart,1185732,4/29/2020,Northeast,New York,New York,Women's Street Footwear,55,920,177100,0.35,Outlet
Walmart,1185732,4/30/2020,Northeast,New York,New York,Women's Athletic Footwear,55,900,173250,0.35,Outlet
Walmart,1185732,5/1/2020,Northeast,New York,New York,Men's Apparel,65,875,170625,0.3,Outlet
Walmart,1185732,5/2/2020,Northeast,New York,New York,Women's Apparel,70,975,170625,0.25,Outlet
Walmart,1185732,5/3/2020,Northeast,New York,New York,Men's Street Footwear,65,1200,390000,0.5,Outlet
Walmart,1185732,5/4/2020,Northeast,New York,New York,Men's Athletic Footwear,55,1000,165000,0.3,Outlet
Walmart,1185732,5/5/2020,Northeast,New York,New York,Women's Street Footwear,55,950,182875,0.35,Outlet
Walmart,1185732,5/6/2020,Northeast,New York,New York,Women's Athletic Footwear,55,900,173250,0.35,Outlet
Walmart,1185732,5/7/2020,Northeast,New York,New York,Men's Apparel,65,900,175500,0.3,Outlet
Walmart,1185732,7/18/2020,Northeast,New York,New York,Women's Apparel,70,1000,175000,0.25,Outlet
Sports Direct,1197831,7/19/2020,Northeast,New York,New York,Men's Street Footwear,25,900,78750,0.35,Outlet
Sports Direct,1197831,7/20/2020,Northeast,New York,New York,Men's Athletic Footwear,35,900,110250,0.35,Outlet
Sports Direct,1197831,7/21/2020,Northeast,New York,New York,Women's Street Footwear,35,700,85750,0.35,Outlet
Sports Direct,1197831,7/22/2020,Northeast,New York,New York,Women's Athletic Footwear,35,700,110250,0.45,Outlet
Sports Direct,1197831,7/23/2020,South,Texas,Houston,Men's Apparel,40,550,66000,0.3,Outlet
Sports Direct,1197831,7/24/2020,South,Texas,Houston,Women's Apparel,35,700,122500,0.5,Outlet
Sports Direct,1197831,7/25/2020,South,Texas,Houston,Men's Street Footwear,25,850,74375,0.35,Outlet
Sports Direct,1197831,7/26/2020,South,Texas,Houston,Men's Athletic Footwear,35,850,104125,0.35,Outlet
Sports Direct,1197831,7/27/2020,South,Texas,Houston,Women's Street Footwear,35,675,82687.5,0.35,Outlet
Sports Direct,1197831,7/28/2020,South,Texas,Houston,Women's Athletic Footwear,35,625,98437.5,0.45,Outlet
Sports Direct,1197831,7/29/2020,South,Texas,Houston,Men's Apparel,40,500,60000,0.3,Outlet
Sports Direct,1197831,7/30/2020,South,Texas,Houston,Women's Apparel,35,700,122500,0.5,Outlet
Sports Direct,1197831,7/31/2020,South,Texas,Houston,Men's Street Footwear,30,875,91875,0.35,Outlet
Sports Direct,1197831,8/1/2020,South,Texas,Houston,Men's Athletic Footwear,40,875,122500,0.35,Outlet
Sports Direct,1197831,8/2/2020,South,Texas,Houston,Women's Street Footwear,35,700,85750,0.35,Outlet
Sports Direct,1197831,8/3/2020,South,Texas,Houston,Women's Athletic Footwear,40,600,108000,0.45,Outlet
Sports Direct,1197831,8/4/2020,South,Texas,Houston,Men's Apparel,45,500,67500,0.3,Outlet
Sports Direct,1197831,8/5/2020,South,Texas,Houston,Women's Apparel,40,650,130000,0.5,Outlet
Sports Direct,1197831,8/6/2020,South,Texas,Houston,Men's Street Footwear,30,900,94500,0.35,Outlet
Sports Direct,1197831,8/7/2020,South,Texas,Houston,Men's Athletic Footwear,40,900,126000,0.35,Outlet
Sports Direct,1197831,8/8/2020,South,Texas,Houston,Women's Street Footwear,35,725,88812.5,0.35,Outlet
Sports Direct,1197831,8/9/2020,South,Texas,Houston,Women's Athletic Footwear,40,625,112500,0.45,Outlet
Walmart,1197831,8/10/2020,South,Texas,Houston,Men's Apparel,45,525,70875,0.3,Outlet
Walmart,1197831,8/11/2020,South,Texas,Houston,Women's Apparel,40,800,160000,0.5,Outlet
Walmart,1197831,8/12/2020,South,Texas,Houston,Men's Street Footwear,30,925,97125,0.35,Outlet
Walmart,1197831,8/13/2020,South,Texas,Houston,Men's Athletic Footwear,40,925,129500,0.35,Outlet
Walmart,1197831,8/14/2020,South,Texas,Houston,Women's Street Footwear,35,775,94937.5,0.35,Outlet
Walmart,1197831,8/15/2020,South,Texas,Houston,Women's Athletic Footwear,40,700,126000,0.45,Outlet
Walmart,1197831,8/16/2020,South,Texas,Houston,Men's Apparel,45,600,81000,0.3,Outlet
Walmart,1197831,8/17/2020,South,Texas,Houston,Women's Apparel,40,950,190000,0.5,Outlet
Walmart,1197831,8/18/2020,South,Texas,Houston,Men's Street Footwear,40,950,133000,0.35,Outlet
Walmart,1197831,8/19/2020,South,Texas,Houston,Men's Athletic Footwear,45,950,149625,0.35,Outlet
Walmart,1197831,8/20/2020,South,Texas,Houston,Women's Street Footwear,40,800,112000,0.35,Outlet
Walmart,1197831,8/21/2020,South,Texas,Houston,Women's Athletic Footwear,40,750,135000,0.45,Outlet
Walmart,1197831,8/22/2020,South,Texas,Houston,Men's Apparel,45,650,87750,0.3,Outlet
Walmart,1197831,8/23/2020,South,Texas,Houston,Women's Apparel,50,1000,250000,0.5,Outlet
Walmart,1197831,8/24/2020,South,Texas,Houston,Men's Street Footwear,40,950,133000,0.35,Outlet
Walmart,1197831,8/25/2020,South,Texas,Houston,Men's Athletic Footwear,45,950,149625,0.35,Outlet
Walmart,1197831,8/26/2020,South,Texas,Houston,Women's Street Footwear,40,1100,154000,0.35,Outlet
Walmart,1197831,8/27/2020,South,Texas,Houston,Women's Athletic Footwear,40,700,126000,0.45,Outlet
Walmart,1197831,8/28/2020,South,Texas,Houston,Men's Apparel,45,700,94500,0.3,Outlet
Walmart,1197831,8/29/2020,South,Texas,Houston,Women's Apparel,50,975,243750,0.5,Outlet
Walmart,1197831,8/30/2020,South,Texas,Houston,Men's Street Footwear,40,925,129500,0.35,Outlet
Walmart,1197831,8/31/2020,South,Texas,Houston,Men's Athletic Footwear,45,925,145687.5,0.35,Outlet
Walmart,1197831,9/1/2020,South,Texas,Houston,Women's Street Footwear,40,1100,154000,0.35,Outlet
Walmart,1197831,9/2/2020,South,Texas,Houston,Women's Athletic Footwear,40,650,117000,0.45,Outlet
Walmart,1197831,9/3/2020,South,Texas,Houston,Men's Apparel,45,650,87750,0.3,Outlet
Walmart,1197831,9/4/2020,South,Texas,Houston,Women's Apparel,50,900,225000,0.5,Outlet
Walmart,1197831,9/5/2020,South,Texas,Houston,Men's Street Footwear,45,850,133875,0.35,Outlet
Walmart,1197831,9/6/2020,South,Texas,Houston,Men's Athletic Footwear,45,850,133875,0.35,Outlet
Walmart,1197831,9/7/2020,South,Texas,Houston,Women's Street Footwear,50,900,157500,0.35,Outlet
Walmart,1197831,9/8/2020,South,Texas,Houston,Women's Athletic Footwear,50,625,140625,0.45,Outlet
Walmart,1197831,9/9/2020,South,Texas,Houston,Men's Apparel,45,625,84375,0.3,Outlet
Walmart,1197831,9/10/2020,South,Texas,Houston,Women's Apparel,55,850,233750,0.5,Outlet
Walmart,1197831,9/11/2020,South,Texas,Houston,Men's Street Footwear,45,800,126000,0.35,Outlet
Walmart,1197831,9/12/2020,South,Texas,Houston,Men's Athletic Footwear,45,800,126000,0.35,Outlet
Walmart,1197831,9/13/2020,South,Texas,Houston,Women's Street Footwear,50,750,131250,0.35,Outlet
Walmart,1197831,9/14/2020,South,Texas,Houston,Women's Athletic Footwear,50,600,135000,0.45,Outlet
Walmart,1197831,9/15/2020,South,Texas,Houston,Men's Apparel,45,575,77625,0.3,Outlet
Walmart,1197831,9/16/2020,South,Texas,Houston,Women's Apparel,55,750,206250,0.5,Outlet
Walmart,1197831,10/20/2020,South,Texas,Houston,Men's Street Footwear,45,900,141750,0.35,Outlet
Walmart,1197831,10/21/2020,South,Texas,Houston,Men's Athletic Footwear,45,900,141750,0.35,Outlet
Walmart,1197831,10/22/2020,South,Texas,Houston,Women's Street Footwear,50,825,144375,0.35,Outlet
Walmart,1197831,10/23/2020,South,Texas,Houston,Women's Athletic Footwear,50,675,151875,0.45,Outlet
Walmart,1197831,10/24/2020,South,Texas,Houston,Men's Apparel,45,650,87750,0.3,Outlet
Walmart,1197831,10/25/2020,South,Texas,Houston,Women's Apparel,55,850,233750,0.5,Outlet
Walmart,1197831,10/26/2020,South,Texas,Houston,Men's Street Footwear,45,950,149625,0.35,Outlet
Walmart,1197831,10/27/2020,South,Texas,Houston,Men's Athletic Footwear,45,950,149625,0.35,Outlet
Walmart,1197831,10/28/2020,South,Texas,Houston,Women's Street Footwear,50,850,148750,0.35,Outlet
Walmart,1197831,10/29/2020,South,Texas,Houston,Women's Athletic Footwear,50,700,157500,0.45,Outlet
Walmart,1197831,10/30/2020,South,Texas,Houston,Men's Apparel,45,650,87750,0.3,Outlet
Walmart,1197831,10/31/2020,South,Texas,Houston,Women's Apparel,55,900,247500,0.5,Outlet
West Gear,1128299,11/1/2020,South,Texas,Houston,Men's Street Footwear,40,775,108500,0.35,Outlet
West Gear,1128299,11/2/2020,South,Texas,Houston,Men's Athletic Footwear,50,775,77500,0.2,Outlet
West Gear,1128299,11/3/2020,South,Texas,Houston,Women's Street Footwear,50,775,135625,0.35,Outlet
West Gear,1128299,11/4/2020,South,Texas,Houston,Women's Athletic Footwear,50,625,93750,0.3,Outlet
West Gear,1128299,11/5/2020,West,California,San Francisco,Men's Apparel,55,575,158125,0.5,Outlet
West Gear,1128299,11/6/2020,West,California,San Francisco,Women's Apparel,50,775,58125,0.15,Outlet
West Gear,1128299,11/7/2020,West,California,San Francisco,Men's Street Footwear,40,825,115500,0.35,Outlet
West Gear,1128299,11/8/2020,West,California,San Francisco,Men's Athletic Footwear,50,725,72500,0.2,Outlet
West Gear,1128299,11/9/2020,West,California,San Francisco,Women's Street Footwear,50,725,126875,0.35,Outlet
West Gear,1128299,11/10/2020,West,California,San Francisco,Women's Athletic Footwear,50,575,86250,0.3,Outlet
West Gear,1128299,11/11/2020,West,California,San Francisco,Men's Apparel,55,500,137500,0.5,Outlet
West Gear,1128299,11/12/2020,West,California,San Francisco,Women's Apparel,50,700,52500,0.15,Outlet
West Gear,1128299,11/13/2020,West,California,San Francisco,Men's Street Footwear,50,850,148750,0.35,Outlet
West Gear,1128299,11/14/2020,West,California,San Francisco,Men's Athletic Footwear,60,700,84000,0.2,Outlet
West Gear,1128299,11/15/2020,West,California,San Francisco,Women's Street Footwear,60,700,147000,0.35,Outlet
West Gear,1128299,12/22/2020,West,California,San Francisco,Women's Athletic Footwear,60,600,108000,0.3,Outlet
West Gear,1128299,12/23/2020,West,California,San Francisco,Men's Apparel,65,500,162500,0.5,Outlet
West Gear,1128299,12/24/2020,West,California,San Francisco,Women's Apparel,60,700,63000,0.15,Outlet
West Gear,1128299,12/25/2020,West,California,San Francisco,Men's Street Footwear,60,875,183750,0.35,Outlet
West Gear,1128299,12/26/2020,West,California,San Francisco,Men's Athletic Footwear,65,675,87750,0.2,Outlet
West Gear,1128299,12/27/2020,West,California,San Francisco,Women's Street Footwear,65,725,164937.5,0.35,Outlet
West Gear,1128299,12/28/2020,West,California,San Francisco,Women's Athletic Footwear,60,625,112500,0.3,Outlet
West Gear,1128299,12/29/2020,West,California,San Francisco,Men's Apparel,65,525,170625,0.5,Outlet
West Gear,1128299,12/30/2020,West,California,San Francisco,Women's Apparel,80,700,84000,0.15,Outlet
West Gear,1128299,12/31/2020,West,California,San Francisco,Men's Street Footwear,60,900,216000,0.4,Outlet
West Gear,1128299,1/1/2021,West,California,San Francisco,Men's Athletic Footwear,65,750,121875,0.25,Outlet
West Gear,1128299,1/2/2021,West,California,San Francisco,Women's Street Footwear,65,750,195000,0.4,Outlet
West Gear,1128299,1/3/2021,West,California,San Francisco,Women's Athletic Footwear,60,650,136500,0.35,Outlet
West Gear,1128299,1/4/2021,West,California,San Francisco,Men's Apparel,65,550,196625,0.55,Outlet
West Gear,1128299,1/5/2021,West,California,San Francisco,Women's Apparel,80,725,116000,0.2,Outlet
West Gear,1128299,1/6/2021,West,California,San Francisco,Men's Street Footwear,60,975,234000,0.4,Outlet
West Gear,1128299,1/7/2021,West,California,San Francisco,Men's Athletic Footwear,65,825,134062.5,0.25,Outlet
West Gear,1128299,1/8/2021,West,California,San Francisco,Women's Street Footwear,65,825,214500,0.4,Outlet
West Gear,1128299,1/9/2021,West,California,San Francisco,Women's Athletic Footwear,60,700,147000,0.35,Outlet
West Gear,1128299,1/10/2021,West,California,San Francisco,Men's Apparel,65,575,205562.5,0.55,Outlet
West Gear,1128299,1/11/2021,West,California,San Francisco,Women's Apparel,80,875,140000,0.2,Outlet
West Gear,1128299,1/12/2021,West,California,San Francisco,Men's Street Footwear,60,1025,215250,0.35,Outlet
West Gear,1128299,1/13/2021,West,California,San Francisco,Men's Athletic Footwear,65,875,113750,0.2,Outlet
West Gear,1128299,1/14/2021,West,California,San Francisco,Women's Street Footwear,65,825,187687.5,0.35,Outlet
West Gear,1128299,1/15/2021,West,California,San Francisco,Women's Athletic Footwear,60,725,130500,0.3,Outlet
West Gear,1128299,1/16/2021,West,California,San Francisco,Men's Apparel,65,775,251875,0.5,Outlet
West Gear,1128299,1/17/2021,West,California,San Francisco,Women's Apparel,80,775,93000,0.15,Outlet
West Gear,1128299,1/18/2021,West,California,San Francisco,Men's Street Footwear,65,975,221812.5,0.35,Outlet
West Gear,1128299,1/19/2021,West,California,San Francisco,Men's Athletic Footwear,70,925,129500,0.2,Outlet
West Gear,1128299,1/20/2021,West,California,San Francisco,Women's Street Footwear,65,800,182000,0.35,Outlet
West Gear,1128299,1/21/2021,West,California,San Francisco,Women's Athletic Footwear,65,750,146250,0.3,Outlet
West Gear,1128299,1/22/2021,West,California,San Francisco,Men's Apparel,75,750,281250,0.5,Outlet
West Gear,1128299,1/23/2021,West,California,San Francisco,Women's Apparel,80,725,87000,0.15,Outlet
West Gear,1128299,1/24/2021,West,California,San Francisco,Men's Street Footwear,55,925,152625,0.3,Outlet
West Gear,1128299,1/25/2021,West,California,San Francisco,Men's Athletic Footwear,60,925,83250,0.15,Outlet
West Gear,1128299,1/26/2021,West,California,San Francisco,Women's Street Footwear,55,775,127875,0.3,Outlet
West Gear,1128299,1/27/2021,West,California,San Francisco,Women's Athletic Footwear,55,725,99687.5,0.25,Outlet
West Gear,1128299,1/28/2021,West,California,San Francisco,Men's Apparel,65,725,212062.5,0.45,Outlet
West Gear,1128299,1/29/2021,West,California,San Francisco,Women's Apparel,70,775,54250,0.1,Outlet
West Gear,1128299,1/30/2021,West,California,San Francisco,Men's Street Footwear,55,875,144375,0.3,Outlet
West Gear,1128299,1/31/2021,West,California,San Francisco,Men's Athletic Footwear,60,875,78750,0.15,Outlet
West Gear,1128299,2/1/2021,West,California,San Francisco,Women's Street Footwear,55,700,115500,0.3,Outlet
West Gear,1128299,2/2/2021,West,California,San Francisco,Women's Athletic Footwear,55,675,92812.5,0.25,Outlet
West Gear,1128299,2/3/2021,West,California,San Francisco,Men's Apparel,65,650,190125,0.45,Outlet
West Gear,1128299,2/4/2021,West,California,San Francisco,Women's Apparel,70,700,49000,0.1,Outlet
West Gear,1128299,2/5/2021,West,California,San Francisco,Men's Street Footwear,55,875,144375,0.3,Outlet
West Gear,1128299,2/6/2021,West,California,San Francisco,Men's Athletic Footwear,60,875,78750,0.15,Outlet
West Gear,1128299,2/7/2021,West,California,San Francisco,Women's Street Footwear,55,725,119625,0.3,Outlet
West Gear,1128299,2/8/2021,West,California,San Francisco,Women's Athletic Footwear,55,700,96250,0.25,Outlet
West Gear,1128299,2/9/2021,West,California,San Francisco,Men's Apparel,65,650,190125,0.45,Outlet
West Gear,1128299,2/10/2021,West,California,San Francisco,Women's Apparel,70,775,54250,0.1,Outlet
West Gear,1128299,2/11/2021,West,California,San Francisco,Men's Street Footwear,55,975,160875,0.3,Outlet
West Gear,1128299,2/12/2021,West,California,San Francisco,Men's Athletic Footwear,60,975,87750,0.15,Outlet
West Gear,1128299,2/13/2021,West,California,San Francisco,Women's Street Footwear,55,775,127875,0.3,Outlet
West Gear,1128299,2/14/2021,West,California,San Francisco,Women's Athletic Footwear,55,775,106562.5,0.25,Outlet
West Gear,1128299,2/15/2021,West,California,San Francisco,Men's Apparel,65,700,204750,0.45,Outlet
West Gear,1128299,2/16/2021,West,California,San Francisco,Women's Apparel,70,800,56000,0.1,Outlet
Kohl's,1189833,2/17/2021,West,California,San Francisco,Men's Street Footwear,35,700,98000,0.4,Outlet
Kohl's,1189833,2/18/2021,West,California,San Francisco,Men's Athletic Footwear,45,700,78750,0.25,Outlet
Kohl's,1189833,3/9/2021,West,California,San Francisco,Women's Street Footwear,45,700,126000,0.4,Outlet
Kohl's,1189833,3/10/2021,West,California,San Francisco,Women's Athletic Footwear,45,550,86625,0.35,Outlet
Kohl's,1189833,3/11/2021,West,California,Los Angeles,Men's Apparel,50,500,137500,0.55,Outlet
Kohl's,1189833,3/12/2021,West,California,Los Angeles,Women's Apparel,45,700,63000,0.2,Outlet
Kohl's,1189833,3/13/2021,West,California,Los Angeles,Men's Street Footwear,35,750,105000,0.4,Outlet
Kohl's,1189833,3/14/2021,West,California,Los Angeles,Men's Athletic Footwear,45,650,73125,0.25,Outlet
Kohl's,1189833,3/15/2021,West,California,Los Angeles,Women's Street Footwear,45,675,121500,0.4,Outlet
Kohl's,1189833,3/16/2021,West,California,Los Angeles,Women's Athletic Footwear,45,525,82687.5,0.35,Outlet
Kohl's,1189833,3/17/2021,West,California,Los Angeles,Men's Apparel,50,450,123750,0.55,Outlet
Kohl's,1189833,3/18/2021,West,California,Los Angeles,Women's Apparel,45,650,58500,0.2,Outlet
Kohl's,1189833,3/19/2021,West,California,Los Angeles,Men's Street Footwear,35,800,112000,0.4,Outlet
Kohl's,1189833,3/20/2021,West,California,Los Angeles,Men's Athletic Footwear,45,650,73125,0.25,Outlet
Kohl's,1189833,3/21/2021,West,California,Los Angeles,Women's Street Footwear,45,650,117000,0.4,Outlet
Kohl's,1189833,3/22/2021,West,California,Los Angeles,Women's Athletic Footwear,45,550,86625,0.35,Outlet
Kohl's,1189833,3/23/2021,West,California,Los Angeles,Men's Apparel,50,425,116875,0.55,Outlet
Kohl's,1189833,4/6/2021,West,California,Los Angeles,Women's Apparel,45,625,56250,0.2,Outlet
Kohl's,1189833,4/7/2021,West,California,Los Angeles,Men's Street Footwear,45,800,144000,0.4,Outlet
Kohl's,1189833,4/8/2021,West,California,Los Angeles,Men's Athletic Footwear,50,600,75000,0.25,Outlet
Kohl's,1189833,4/9/2021,West,California,Los Angeles,Women's Street Footwear,50,625,125000,0.4,Outlet
Kohl's,1189833,4/10/2021,West,California,Los Angeles,Women's Athletic Footwear,45,525,82687.5,0.35,Outlet
Kohl's,1189833,4/11/2021,West,California,Los Angeles,Men's Apparel,50,425,116875,0.55,Outlet
Kohl's,1189833,4/12/2021,West,California,Los Angeles,Women's Apparel,65,600,78000,0.2,Outlet
Kohl's,1189833,4/13/2021,West,California,Los Angeles,Men's Street Footwear,45,800,144000,0.4,Outlet
Kohl's,1189833,4/14/2021,West,California,Los Angeles,Men's Athletic Footwear,50,650,81250,0.25,Outlet
Kohl's,1189833,4/15/2021,West,California,Los Angeles,Women's Street Footwear,50,650,130000,0.4,Outlet
Kohl's,1189833,4/16/2021,West,California,Los Angeles,Women's Athletic Footwear,45,550,86625,0.35,Outlet
Kohl's,1189833,4/17/2021,West,California,Los Angeles,Men's Apparel,50,450,123750,0.55,Outlet
Kohl's,1189833,4/18/2021,West,California,Los Angeles,Women's Apparel,65,625,81250,0.2,Outlet
Kohl's,1189833,4/19/2021,West,California,Los Angeles,Men's Street Footwear,45,900,162000,0.4,Outlet
Kohl's,1189833,4/20/2021,West,California,Los Angeles,Men's Athletic Footwear,50,750,93750,0.25,Outlet
Kohl's,1189833,4/21/2021,West,California,Los Angeles,Women's Street Footwear,50,750,150000,0.4,Outlet
Kohl's,1189833,4/22/2021,West,California,Los Angeles,Women's Athletic Footwear,45,625,98437.5,0.35,Outlet
Kohl's,1189833,4/23/2021,West,California,Los Angeles,Men's Apparel,50,500,137500,0.55,Outlet
Kohl's,1189833,4/24/2021,West,California,Los Angeles,Women's Apparel,65,800,104000,0.2,Outlet
Kohl's,1189833,4/25/2021,West,California,Los Angeles,Men's Street Footwear,45,950,171000,0.4,Outlet
Kohl's,1189833,4/26/2021,West,California,Los Angeles,Men's Athletic Footwear,50,800,100000,0.25,Outlet
Kohl's,1189833,4/27/2021,West,California,Los Angeles,Women's Street Footwear,50,750,150000,0.4,Outlet
Kohl's,1189833,4/28/2021,West,California,Los Angeles,Women's Athletic Footwear,45,650,102375,0.35,Outlet
Kohl's,1189833,4/29/2021,West,California,Los Angeles,Men's Apparel,50,700,192500,0.55,Outlet
Kohl's,1189833,4/30/2021,West,California,Los Angeles,Women's Apparel,65,700,91000,0.2,Outlet
Kohl's,1189833,5/1/2021,West,California,Los Angeles,Men's Street Footwear,50,900,180000,0.4,Outlet
Kohl's,1189833,5/2/2021,West,California,Los Angeles,Men's Athletic Footwear,55,850,116875,0.25,Outlet
Kohl's,1189833,5/3/2021,West,California,Los Angeles,Women's Street Footwear,50,725,145000,0.4,Outlet
Kohl's,1189833,5/4/2021,West,California,Los Angeles,Women's Athletic Footwear,50,675,118125,0.35,Outlet
Kohl's,1189833,5/5/2021,West,California,Los Angeles,Men's Apparel,60,675,222750,0.55,Outlet
